Title,Year,Conference
Dual Cross-Attention Learning for Fine-Grained Visual Categorization and Object Re-Identification,2022,CVPR
SimAN: Exploring Self-Supervised Representation Learning of Scene Text via Similarity-Aware Normalization,2022,CVPR
"GASP, a Generalized Framework for Agglomerative Clustering of Signed Graphs and Its Application to Instance Segmentation",2022,CVPR
Estimating Example Difficulty Using Variance of Gradients,2022,CVPR
One Loss for Quantization: Deep Hashing With Discrete Wasserstein Distributional Matching,2022,CVPR
Pixel Screening Based Intermediate Correction for Blind Deblurring,2022,CVPR
Weakly Supervised Semantic Segmentation by Pixel-to-Prototype Contrast,2022,CVPR
Controllable Animation of Fluid Elements in Still Images,2022,CVPR
Holocurtains: Programming Light Curtains via Binary Holography,2022,CVPR
Recurrent Dynamic Embedding for Video Object Segmentation,2022,CVPR
Deep Hierarchical Semantic Segmentation,2022,CVPR
f-SfT: Shape-From-Template With a Physics-Based Deformation Model,2022,CVPR
Continual Object Detection via Prototypical Task Correlation Guided Gating Mechanism,2022,CVPR
DATA: Domain-Aware and Task-Aware Self-Supervised Learning,2022,CVPR
TWIST: Two-Way Inter-Label Self-Training for Semi-Supervised 3D Instance Segmentation,2022,CVPR
Voxel Set Transformer: A Set-to-Set Approach to 3D Object Detection From Point Clouds,2022,CVPR
Learning Adaptive Warping for Real-World Rolling Shutter Correction,2022,CVPR
Siamese Contrastive Embedding Network for Compositional Zero-Shot Learning,2022,CVPR
Bongard-HOI: Benchmarking Few-Shot Visual Reasoning for Human-Object Interactions,2022,CVPR
RIM-Net: Recursive Implicit Fields for Unsupervised Learning of Hierarchical Shape Structures,2022,CVPR
Do Learned Representations Respect Causal Relationships?,2022,CVPR
ZebraPose: Coarse To Fine Surface Encoding for 6DoF Object Pose Estimation,2022,CVPR
ZeroCap: Zero-Shot Image-to-Text Generation for Visual-Semantic Arithmetic,2022,CVPR
Learning To Affiliate: Mutual Centralized Learning for Few-Shot Classification,2022,CVPR
CAPRI-Net: Learning Compact CAD Shapes With Adaptive Primitive Assembly,2022,CVPR
ATPFL: Automatic Trajectory Prediction Model Design Under Federated Learning Framework,2022,CVPR
Revisiting Learnable Affines for Batch Norm in Few-Shot Transfer Learning,2022,CVPR
Bridging the Gap Between Classification and Localization for Weakly Supervised Object Localization,2022,CVPR
Multi-Class Token Transformer for Weakly Supervised Semantic Segmentation,2022,CVPR
3D Moments From Near-Duplicate Photos,2022,CVPR
Exact Feature Distribution Matching for Arbitrary Style Transfer and Domain Generalization,2022,CVPR
Blind2Unblind: Self-Supervised Image Denoising With Visible Blind Spots,2022,CVPR
Balanced and Hierarchical Relation Learning for One-Shot Object Detection,2022,CVPR
End-to-End Generative Pretraining for Multimodal Video Captioning,2022,CVPR
Delving Deep Into the Generalization of Vision Transformers Under Distribution Shifts,2022,CVPR
NICE-SLAM: Neural Implicit Scalable Encoding for SLAM,2022,CVPR
HyperDet3D: Learning a Scene-Conditioned 3D Object Detector,2022,CVPR
Stochastic Trajectory Prediction via Motion Indeterminacy Diffusion,2022,CVPR
CLRNet: Cross Layer Refinement Network for Lane Detection,2022,CVPR
Cross-Modal Map Learning for Vision and Language Navigation,2022,CVPR
Motion-Aware Contrastive Video Representation Learning via Foreground-Background Merging,2022,CVPR
Incremental Transformer Structure Enhanced Image Inpainting With Masking Positional Encoding,2022,CVPR
Pointly-Supervised Instance Segmentation,2022,CVPR
Cross-Modal Clinical Graph Transformer for Ophthalmic Report Generation,2022,CVPR
Human-Object Interaction Detection via Disentangled Transformer,2022,CVPR
DINE: Domain Adaptation From Single and Multiple Black-Box Predictors,2022,CVPR
LGT-Net: Indoor Panoramic Room Layout Estimation With Geometry-Aware Transformer Network,2022,CVPR
CRIS: CLIP-Driven Referring Image Segmentation,2022,CVPR
Multi-View Mesh Reconstruction With Neural Deferred Shading,2022,CVPR
CVF-SID: Cyclic Multi-Variate Function for Self-Supervised Image Denoising by Disentangling Noise From Image,2022,CVPR
Infrared Invisible Clothing: Hiding From Infrared Detectors at Multiple Angles in Real World,2022,CVPR
Distribution-Aware Single-Stage Models for Multi-Person 3D Pose Estimation,2022,CVPR
FaceFormer: Speech-Driven 3D Facial Animation With Transformers,2022,CVPR
Exploring Patch-Wise Semantic Relation for Contrastive Learning in Image-to-Image Translation Tasks,2022,CVPR
High-Resolution Face Swapping via Latent Semantics Disentanglement,2022,CVPR
Searching the Deployable Convolution Neural Networks for GPUs,2022,CVPR
